Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,4/4/2016,2016,4,4,†,3,,-22,,-9.5,,27.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/5/2016,2016,4,5,†,0,,-5,,-2.5,,20.5,,0,,0,,11,,11,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/6/2016,2016,4,6,†,2,,-6,,-2,,20,,0,,0,,4,,4,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/7/2016,2016,4,7,†,2,,-4,,-1,,19,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/8/2016,2016,4,8,†,-2,,-20,,-11,,29,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/9/2016,2016,4,9,†,-1,,-10,,-5.5,,23.5,,0,,0,,15,,15,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/10/2016,2016,4,10,†,-2,,-7,,-4.5,,22.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/11/2016,2016,4,11,†,0,,-18,,-9,,27,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/12/2016,2016,4,12,†,8,,-9,,-0.5,,18.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/13/2016,2016,4,13,†,17,,-4,,6.5,,11.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/14/2016,2016,4,14,†,16,,1,,8.5,,9.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/15/2016,2016,4,15,†,4,,1,,2.5,,15.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/16/2016,2016,4,16,†,7,,-4,,1.5,,16.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/17/2016,2016,4,17,†,16,,-6,,5,,13,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/18/2016,2016,4,18,†,20,,-6,,7,,11,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/19/2016,2016,4,19,†,23,,-9,,7,,11,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/20/2016,2016,4,20,†,20,,10,,15,,3,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/21/2016,2016,4,21,†,9,,-5,,2,,16,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/22/2016,2016,4,22,†,11,,-6,,2.5,,15.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/23/2016,2016,4,23,†,9,,-3,,3,,15,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/24/2016,2016,4,24,†,11,,-9,,1,,17,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/25/2016,2016,4,25,†,13,,-9,,2,,16,,0,,0,,0,,0,,0,,,,,
